year,marital,age,race,income
2000,Never married,26,White,9000
2000,Divorced,48,White,9000
2000,Married,25,White,22500
2000,Never married,36,White,25000
2000,Divorced,44,White,7500
2000,Married,44,White,25000
2000,Married,47,White,25000
2000,Married,53,White,25000
2000,Married,52,White,25000
2000,Married,52,White,25000
2000,Married,51,White,25000
2000,Divorced,52,White,25000
2000,Married,40,Black,25000
2000,Never married,44,White,25000
2000,Married,40,White,12500
2000,Married,48,White,25000
2000,Widowed,54,White,25000
2000,Never married,37,White,25000
2000,Married,22,White,12500
2000,Never married,33,Other,22500
2000,Never married,37,White,25000
2000,Never married,43,White,22500
2000,Never married,29,White,25000
2000,Married,31,White,22500
2000,Married,45,White,25000
2000,Divorced,36,Black,17500
2000,Never married,26,White,25000
2000,Never married,46,White,12500
2000,Married,65,White,25000
2000,Married,52,White,3500
2000,Married,56,White,25000
2000,Married,66,White,25000
2000,Never married,20,White,17500
2000,Married,64,White,5500
2000,Married,59,White,25000
2000,Married,26,Other,12500
2000,Divorced,51,White,22500
2000,Divorced,45,White,25000
2000,Never married,23,White,2000
2000,Married,26,White,12500
2000,Married,31,Other,25000
2000,Never married,27,Black,25000
2000,Never married,29,White,12500
2000,Divorced,61,White,25000
2000,Never married,34,Black,17500
2000,Never married,32,Black,12500
2000,Married,32,Black,25000
2000,Never married,29,Black,25000
2000,Married,40,Black,25000
2000,Married,44,White,3500
2000,Married,51,Black,3500
2000,Never married,22,Black,22500
2000,Separated,53,Black,25000
2000,Never married,20,White,12500
2000,Married,45,White,25000
2000,Divorced,46,White,25000
2000,Never married,24,White,17500
2000,Never married,51,White,22500
2000,Never married,32,White,25000
2000,Married,52,White,1000
2000,Married,45,White,25000
2000,Married,50,Other,25000
2000,Divorced,47,White,25000
2000,Married,72,White,25000
2000,Never married,29,Other,12500
2000,Married,26,White,22500
2000,Married,30,Other,25000
2000,Never married,48,Black,25000
2000,Divorced,62,Black,25000
2000,Divorced,57,White,25000
2000,Married,47,White,12500
2000,Divorced,37,White,22500
2000,Never married,23,White,3500
2000,Married,30,White,12500
2000,Married,32,White,9000
2000,Divorced,50,Black,12500
2000,Widowed,38,Black,9000
2000,Never married,31,White,22500
2000,Never married,32,Black,17500
2000,Never married,58,Black,2000
2000,Never married,29,Black,9000
2000,Never married,39,Black,25000
2000,Never married,40,Other,25000
2000,Married,41,White,22500
2000,Separated,48,Black,25000
2000,Never married,33,White,22500
2000,Widowed,41,White,25000
2000,Married,58,White,25000
2000,Married,48,White,25000
2000,Married,43,White,17500
2000,Married,62,White,12500
2000,Never married,48,White,25000
2000,Divorced,48,White,25000
2000,Never married,19,White,2000
2000,Married,42,White,25000
2000,Never married,30,White,25000
2000,Never married,32,White,22500
2000,Married,36,White,25000
2000,Married,58,White,25000
2000,Married,55,White,25000
2000,Widowed,48,Black,25000
2000,Married,50,White,25000
2000,Married,51,White,25000
2000,Divorced,48,White,25000
2000,Married,39,White,1000
2000,Never married,38,White,25000
2000,Never married,40,White,25000
2000,Never married,33,White,9000
2000,Divorced,56,White,25000
2000,Never married,67,White,25000
2000,Never married,43,Black,25000
2000,Divorced,48,Black,12500
2000,Widowed,77,Black,3500
2000,Married,40,White,12500
2000,Married,39,White,3500
2000,Separated,30,White,25000
2000,Divorced,45,White,25000
2000,Divorced,52,White,9000
2000,Never married,53,White,25000
2000,Married,53,White,12500
2000,Married,39,White,25000
2000,Married,41,White,25000
2000,Never married,20,White,2000
2000,Never married,26,White,9000
2000,Never married,21,White,25000
2000,Married,31,White,1000
2000,Married,32,Other,25000
2000,Separated,45,White,25000
2000,Married,28,White,25000
2000,Never married,21,White,22500
2000,Married,36,White,25000
2000,Never married,35,White,17500
2000,Divorced,38,White,25000
2000,Never married,28,White,25000
2000,Never married,62,White,9000
2000,Married,53,White,25000
2000,Married,27,Other,25000
2000,Married,46,White,25000
2000,Married,56,White,25000
2000,Never married,42,White,3500
2000,Married,36,Other,25000
2000,Separated,49,White,25000
2000,Married,72,White,25000
2000,Married,32,White,25000
2000,Never married,20,Other,3500
2000,Married,51,White,25000
2000,Married,35,Other,6500
2000,Married,54,Other,17500
2000,Widowed,65,White,6500
2000,Married,48,White,25000
2000,Never married,51,White,25000
2000,Married,38,White,4500
2000,Married,48,White,12500
2000,Never married,29,White,25000
2000,Separated,64,White,25000
2000,Divorced,26,White,25000
2000,Married,58,White,25000
2000,Married,47,White,25000
2000,Married,43,Black,25000
2000,Never married,29,White,25000
2000,Never married,26,Other,12500
2000,Never married,24,White,25000
2000,Divorced,38,Black,17500
2000,Never married,34,Black,5500
2000,Married,32,Black,12500
2000,Never married,32,Black,17500
2000,Never married,25,Black,7500
2000,Divorced,54,Black,9000
2000,Married,47,Black,1000
2000,Never married,31,Black,25000
2000,Separated,60,Black,17500
2000,Married,36,White,25000
2000,Divorced,28,Black,17500
2000,Never married,34,Black,12500
2000,Never married,44,Black,17500
2000,Divorced,31,Black,3500
2000,Divorced,45,White,25000
2000,Married,59,White,25000
2000,Married,38,White,17500
2000,Divorced,73,White,25000
2000,Married,31,White,25000
2000,Married,44,White,6500
2000,Married,34,White,25000
2000,Never married,26,White,25000
2000,Married,38,Black,25000
2000,Never married,29,White,25000
2000,Never married,36,Other,25000
2000,Married,32,White,25000
2000,Married,26,White,5500
2000,Married,47,White,25000
2000,Divorced,37,White,25000
2000,Never married,29,White,25000
2000,Never married,37,Other,25000
2000,Married,26,White,25000
2000,Never married,23,Other,22500
2000,Never married,22,White,17500
2000,Married,42,White,25000
2000,Widowed,53,White,25000
2000,Married,43,White,25000
2000,Married,49,White,25000
2000,Married,47,White,6500
2000,Married,37,White,25000
2000,Married,42,White,25000
2000,Never married,22,White,12500
2000,Married,51,White,25000
2000,Married,30,White,25000
2000,Married,59,White,25000
2000,Married,52,White,22500
2000,Married,58,White,3500
2000,Never married,40,White,25000
